Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	4/366	2.1233761840236866E-5	3.3974018944378986E-4	0	0	36.14732965009208	388.9423066915579	PTGFR;ADRA2C;ADRA2B;ADRA2A
CGMP-PKG SIGNALING PATHWAY	3/161	5.89427276245413E-5	4.715418209963304E-4	0	0	53.79385171790235	523.895325764231	ADRA2C;ADRA2B;ADRA2A
NEUROACTIVE LIGAND SIGNALING	3/195	1.0413357255158714E-4	5.553790536084647E-4	0	0	44.191964285714285	405.23307082641094	ADRA2C;ADRA2B;ADRA2A
HORMONE SIGNALING	3/218	1.4485503677424838E-4	5.794201470969935E-4	0	0	39.41860465116279	348.45167721170833	ADRA2C;ADRA2B;ADRA2A
ENDOCRINE AND OTHER FACTOR-REGULATED CALCIUM REABSORPTION	1/50	0.02472594881725805	0.05781556072468995	0	0	45.21768707482993	167.3010120823387	VDR
MINERAL ABSORPTION	1/58	0.028630638041239193	0.05781556072468995	0	0	38.85575048732944	138.06527849839193	VDR
ARACHIDONIC ACID METABOLISM	1/63	0.031063918820932256	0.05781556072468995	0	0	35.71326164874552	123.9860268803296	HPGD
LYSINE DEGRADATION	1/63	0.031063918820932256	0.05781556072468995	0	0	35.71326164874552	123.9860268803296	EHMT2
RETINOL METABOLISM	1/66	0.0325212529076381	0.05781556072468995	0	0	34.05982905982906	116.68425597420442	ALDH1A1
LONGEVITY REGULATING PATHWAY	1/87	0.04266748288266354	0.06826797261226167	0	0	25.71576227390181	81.11569629500502	EHMT2
PARATHYROID HORMONE SYNTHESIS, SECRETION AND ACTION	1/112	0.05462140403176767	0.07944931495529843	0	0	19.8988988988989	57.85265494685789	VDR
PHOSPHOLIPASE D SIGNALING PATHWAY	1/147	0.07113123037086004	0.09484164049448005	0	0	15.101978691019786	39.91798490572592	PTGFR
TUBERCULOSIS	1/179	0.0859983623481033	0.09957473771879886	0	0	12.367041198501873	30.34163310031636	VDR
TRANSCRIPTIONAL MISREGULATION IN CANCER	1/189	0.09060022102856996	0.09957473771879886	0	0	11.703309692671395	28.103141488494085	HPGD
CHEMICAL CARCINOGENESIS - RECEPTOR ACTIVATION	1/195	0.09335131661137394	0.09957473771879886	0	0	11.337915234822452	26.88656557789663	VDR
CALCIUM SIGNALING PATHWAY	1/250	0.11822285551261046	0.11822285551261046	0	0	8.80901383311022	18.808863891633447	PTGFR
