Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DOPAMINERGIC SYNAPSE	3/131	5.4139072208468655E-6	7.038079387100925E-5	0	0	155.203125	1882.0768264279861	DRD2;DRD3;DRD4
NEUROACTIVE LIGAND SIGNALING	3/195	1.7863308753240065E-5	1.0805139508201905E-4	0	0	103.13541666666667	1127.554937283057	DRD2;DRD3;DRD4
HORMONE SIGNALING	3/218	2.4934937326619782E-5	1.0805139508201905E-4	0	0	91.9953488372093	975.080839390802	DRD2;DRD3;DRD4
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	3/366	1.1668606866564278E-4	3.79229723163339E-4	0	0	54.07988980716254	489.74874773221177	DRD2;DRD3;DRD4
CARBOHYDRATE DIGESTION AND ABSORPTION	1/47	0.014019039014764203	0.031016978534409195	0	0	86.7304347826087	370.1081619438501	SLC5A1
COCAINE ADDICTION	1/48	0.014315528554342706	0.031016978534409195	0	0	84.88085106382978	360.4389302463305	DRD2
MINERAL ABSORPTION	1/58	0.017276340770511572	0.03208463285952149	0	0	69.95438596491228	283.9040901406788	SLC5A1
GAP JUNCTION	1/85	0.02523354305099001	0.037720731990615	0	0	47.404761904761905	174.42966577015417	DRD2
BILE SECRETION	1/88	0.026114352916579615	0.037720731990615	0	0	45.763218390804596	166.81929605604782	SLC5A1
ALCOHOLISM	1/153	0.045036361837818166	0.058547270389163616	0	0	26.107894736842105	80.94191638344306	DRD2
RAP1 SIGNALING PATHWAY	1/210	0.061376433673960354	0.07018546780101975	0	0	18.933014354066987	52.83691853686298	DRD2
CAMP SIGNALING PATHWAY	1/222	0.06478658566247977	0.07018546780101975	0	0	17.894117647058824	48.97005710035234	DRD2
PARKINSON DISEASE	1/263	0.07636014398951467	0.07636014398951467	0	0	15.062595419847328	38.745429764486076	DRD2
