Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CHEMICAL CARCINOGENESIS - DNA ADDUCTS	10/69	8.93183589095118E-16	1.089683978696044E-13	0	0	86.44936983920034	2995.6210459631993	CYP2C9;CYP2A6;CYP2C8;EPHX1;CYP1A2;CYP1A1;CYP2C19;CYP3A4;CYP3A5;UGT2B7
RETINOL METABOLISM	9/66	4.8695743563477885E-14	2.970440357372151E-12	0	0	78.52894736842106	2407.1623334623036	CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP1A2;CYP1A1;CYP3A4;CYP3A5;UGT2B7
DRUG METABOLISM - CYTOCHROME P450	9/69	7.415591119507387E-14	3.015673721933004E-12	0	0	74.59125	2255.0879178043597	CYP2C9;CYP2A6;CYP2C8;CYP2B6;CYP1A2;CYP2C19;CYP3A4;CYP3A5;UGT2B7
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	9/76	1.8408239088341362E-13	5.614512921944115E-12	0	0	66.77462686567164	1958.058623405129	CYP2C9;CYP2A6;CYP2B6;EPHX1;CYP1A2;CYP1A1;CYP3A4;CYP3A5;UGT2B7
LINOLEIC ACID METABOLISM	5/30	9.73663469208349E-9	2.3757388648683715E-7	0	0	90.57272727272728	1670.828638460988	CYP2C9;CYP2C8;CYP1A2;CYP2C19;CYP3A4
LIPID AND ATHEROSCLEROSIS	8/214	4.663087623606565E-8	9.481611501333348E-7	0	0	18.702344304996448	315.7143291049805	CYP2C9;CYP2A6;CYP2C8;CYP2B6;HSPA1L;CYP1A1;TNF;HSPA1A
STEROID HORMONE BIOSYNTHESIS	5/63	4.520550719904238E-7	6.192087344326527E-6	0	0	38.97531347962382	569.4083543531262	CYP1A2;CYP1A1;CYP3A4;CYP3A5;UGT2B7
ARACHIDONIC ACID METABOLISM	5/63	4.520550719904238E-7	6.192087344326527E-6	0	0	38.97531347962382	569.4083543531262	CYP2C9;CYP2C8;CYP2B6;GGT1;CYP2C19
CHEMICAL CARCINOGENESIS - RECEPTOR ACTIVATION	7/195	4.567933286798258E-7	6.192087344326527E-6	0	0	17.520390070921987	255.78078406022757	CYP2B6;NR1I3;EPHX1;CYP1A2;CYP1A1;CYP3A4;UGT2B7
TASTE TRANSDUCTION	4/86	5.824571169985357E-5	7.068306452055004E-4	0	0	21.538211382113822	210.0156549494742	GABRA1;SCN9A;SCN2A;SCN3A
BILE SECRETION	4/88	6.373063194475823E-5	7.068306452055004E-4	0	0	21.023280423280422	203.10265845332947	ABCC2;EPHX1;CYP3A4;UGT2B7
CAFFEINE METABOLISM	2/6	8.764936747808933E-5	8.911019026939081E-4	0	0	212.20212765957447	1982.4275367535533	CYP2A6;CYP1A2
LEGIONELLOSIS	3/56	3.4964169186176323E-4	0.003281252800548855	0	0	24.48482362592289	194.86495808619284	HSPA1L;TNF;HSPA1A
ANTIGEN PROCESSING AND PRESENTATION	3/78	9.239817749668942E-4	0.008051841181854364	0	0	17.283478260869565	120.75652065518827	HSPA1L;TNF;HSPA1A
