Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NEUROACTIVE LIGAND SIGNALING	7/195	5.660310741581567E-9	3.5000904934727725E-7	0	0	36.83377659574468	699.4655736125706	P2RX4;HTR1A;HTR1B;HTR2A;HTR3B;DRD3;SLC6A4
SEROTONERGIC SYNAPSE	6/111	6.8629225362211224E-9	3.5000904934727725E-7	0	0	54.06258503401361	1016.2215720275362	TPH1;HTR1A;HTR1B;HTR2A;HTR3B;SLC6A4
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	7/366	4.20392887155431E-7	1.4293358163284653E-5	0	0	19.122284122562675	280.7548310244353	P2RX4;GNRHR;HTR1A;HTR1B;ADM;HTR2A;DRD3
STEROID HORMONE BIOSYNTHESIS	4/63	1.485497203148359E-6	3.788017868028316E-5	0	0	58.700073691967575	787.7409610851391	CYP1A2;COMT;CYP3A4;CYP3A5
RETINOL METABOLISM	3/66	9.4862916503814E-5	0.0015784211701947329	0	0	39.50396825396825	365.92832710402826	CYP1A2;CYP3A4;CYP3A5
CHEMICAL CARCINOGENESIS - DNA ADDUCTS	3/69	1.0832302148395226E-4	0.0015784211701947329	0	0	37.702651515151516	344.24002001358906	CYP1A2;CYP3A4;CYP3A5
DRUG METABOLISM - CYTOCHROME P450	3/69	1.0832302148395226E-4	0.0015784211701947329	0	0	37.702651515151516	344.24002001358906	CYP1A2;CYP3A4;CYP3A5
CHEMICAL CARCINOGENESIS - RECEPTOR ACTIVATION	4/195	1.2899773574962084E-4	0.0016368899167834672	0	0	18.012292283177782	161.3129689030519	GDNF;CYP1A2;CYP3A4;MTOR
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	3/76	1.4443146324560004E-4	0.0016368899167834672	0	0	34.07534246575342	301.318217068456	CYP1A2;CYP3A4;CYP3A5
TASTE TRANSDUCTION	3/86	2.083763918890318E-4	0.0019994275122516385	0	0	29.954819277108435	253.90197687438877	HTR1A;HTR1B;HTR3B
LONGEVITY REGULATING PATHWAY	3/87	2.156245356349806E-4	0.0019994275122516385	0	0	29.59672619047619	249.85473153514923	GDNF;EHMT2;MTOR
DOPAMINERGIC SYNAPSE	3/131	7.159781617885379E-4	0.005852000299209399	0	0	19.3798828125	140.3464154268152	GDNF;COMT;DRD3
LINOLEIC ACID METABOLISM	2/30	7.458431753894333E-4	0.005852000299209399	0	0	56.98571428571429	410.3538550694941	CYP1A2;CYP3A4
TRYPTOPHAN METABOLISM	2/42	0.0014615978271405614	0.010648784169166947	0	0	39.866	260.25421942599417	TPH1;CYP1A2
COCAINE ADDICTION	2/48	0.0019053209988171098	0.012956182791956346	0	0	34.65565217391304	217.05198082889783	GDNF;BDNF
CAMP SIGNALING PATHWAY	3/222	0.003241994159774457	0.020491884485106193	0	0	11.275114155251142	64.62406834720021	BDNF;HTR1A;HTR1B
PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES	4/469	0.003415314080851032	0.020491884485106193	0	0	7.296119682094437	41.43820826980061	ATXN2;BDNF;MTOR;SLC6A4
CALCIUM SIGNALING PATHWAY	3/250	0.004522125888624752	0.02562538003554026	0	0	9.982793522267206	53.89483679511331	P2RX4;GDNF;HTR2A
BILE SECRETION	2/88	0.006254809986072074	0.033578453609439556	0	0	18.49953488372093	93.87412331069416	ABCB1;CYP3A4
HUNTINGTON DISEASE	3/303	0.007694324643018603	0.039214759183947644	0	0	8.197083333333333	39.897436495286385	BDNF;MTOR;SLC6A4
CAFFEINE METABOLISM	1/6	0.00807362689081275	0.039214759183947644	0	0	153.6	740.2218192098322	CYP1A2
GROWTH HORMONE SYNTHESIS, SECRETION AND ACTION	2/118	0.011002538632022059	0.051011770021193184	0	0	13.69448275862069	61.75703998561941	GDNF;MTOR
PI3K-AKT SIGNALING PATHWAY	3/355	0.011829878160119154	0.052462937927484944	0	0	6.967684659090909	30.916501033478948	GDNF;BDNF;MTOR
ESTROGEN SIGNALING PATHWAY	2/135	0.014215459608122386	0.060415703334520135	0	0	11.933834586466165	50.75967278403074	GDNF;FKBP5
SPINOCEREBELLAR ATAXIA	2/143	0.015851757159440767	0.06467331790554795	0	0	11.252198581560284	46.634454849996196	ATXN2;MTOR
GASTRIC CANCER	2/146	0.01648535554455144	0.06467331790554795	0	0	11.016111111111112	45.22425185211877	ABCB1;MTOR
ALCOHOLISM	2/153	0.018005439171211716	0.06802054798013316	0	0	10.501721854304636	42.18627142969688	GDNF;BDNF
MICRORNAS IN CANCER	2/160	0.019582958832853006	0.07133792146253595	0	0	10.032911392405063	39.4603990330017	ABCB1;MTOR
HORMONE SIGNALING	2/218	0.03471764962165998	0.11905503066793725	0	0	7.317407407407408	24.59019944893758	GNRHR;DRD3
FOLATE BIOSYNTHESIS	1/27	0.03584013171184842	0.11905503066793725	0	0	29.507396449704142	98.22088743474232	TPH1
HUMAN CYTOMEGALOVIRUS INFECTION	2/223	0.03618339167358877	0.11905503066793725	0	0	7.1500452488687785	23.732108859687578	GDNF;MTOR
THERMOGENESIS	2/229	0.037973748117705805	0.12104132212518726	0	0	6.958942731277533	22.761728792957083	GDNF;MTOR
PROTEIN EXPORT	1/31	0.041043446358547446	0.1268615614718739	0	0	25.567948717948717	81.6416333934617	SRP19
AUTOPHAGY - OTHER	1/32	0.04234004393150865	0.12702013179452595	0	0	24.741935483870968	78.2345437210345	MTOR
TYROSINE METABOLISM	1/36	0.047509573208732836	0.1384564704940214	0	0	21.90989010989011	66.75558005419848	COMT
ABC TRANSPORTERS	1/45	0.05904295112171703	0.1653140839656405	0	0	17.420454545454547	49.29100393195118	ABCB1
MAPK SIGNALING PATHWAY	2/296	0.060119512068493565	0.1653140839656405	0	0	5.354829931972789	15.054680412338532	GDNF;BDNF
TYPE II DIABETES MELLITUS	1/47	0.06158759990876803	0.1653140839656405	0	0	16.661371237458194	46.440152226223375	MTOR
LONGEVITY REGULATING PATHWAY - MULTIPLE SPECIES	1/60	0.07796701814188411	0.19881575105016536	0	0	12.98174706649283	33.12253021761694	MTOR
LYSINE DEGRADATION	1/63	0.08170759918722283	0.19881575105016536	0	0	12.351736972704714	30.936262547654483	EHMT2
CORTISOL SYNTHESIS AND SECRETION	1/63	0.08170759918722283	0.19881575105016536	0	0	12.351736972704714	30.936262547654483	GDNF
AMYOTROPHIC LATERAL SCLEROSIS	2/362	0.08526738338484399	0.19881575105016536	0	0	4.358444444444444	10.730330149340265	ATXN2;MTOR
ACUTE MYELOID LEUKEMIA	1/67	0.08667231548375737	0.19881575105016536	0	0	11.60081585081585	28.37119607885258	MTOR
AMPHETAMINE ADDICTION	1/67	0.08667231548375737	0.19881575105016536	0	0	11.60081585081585	28.37119607885258	GDNF
CENTRAL CARBON METABOLISM IN CANCER	1/68	0.08790945005341633	0.19881575105016536	0	0	11.427095292766934	27.784387663217135	MTOR
ADIPOCYTOKINE SIGNALING PATHWAY	1/70	0.09037887999460255	0.19881575105016536	0	0	11.094760312151616	26.668970934836352	MTOR
THYROID HORMONE SYNTHESIS	1/71	0.09161117940546835	0.19881575105016536	0	0	10.935714285714285	26.13856581636218	GDNF
GLIOMA	1/75	0.09652432039763756	0.20369808593147487	0	0	10.342515592515593	24.18039062518233	MTOR
PANCREATIC CANCER	1/77	0.09897128507986962	0.20369808593147487	0	0	10.069331983805668	23.28961492092306	MTOR
SYNAPTIC VESICLE CYCLE	1/78	0.1001923729898059	0.20369808593147487	0	0	9.938061938061939	22.864133490479528	SLC6A4
INSULIN SECRETION	1/81	0.10384608302388916	0.20369808593147487	0	0	9.563942307692308	21.660851190982118	GDNF
DRUG METABOLISM - OTHER ENZYMES	1/81	0.10384608302388916	0.20369808593147487	0	0	9.563942307692308	21.660851190982118	CYP3A4
ERBB SIGNALING PATHWAY	1/83	0.10627394826975518	0.20382172951744718	0	0	9.329737335834897	20.914799669740503	MTOR
GAP JUNCTION	1/85	0.10869547892866405	0.20382172951744718	0	0	9.106684981684982	20.20960155430532	HTR2A
COLORECTAL CANCER	1/86	0.1099038737594078	0.20382172951744718	0	0	8.999095022624434	19.871344206358376	MTOR
PD-L1 EXPRESSION AND PD-1 CHECKPOINT PATHWAY IN CANCER	1/88	0.11231593236202139	0.20457544823082469	0	0	8.791335101679929	19.221722799537645	MTOR
GNRH SIGNALING PATHWAY	1/90	0.11472169604682494	0.205291456083792	0	0	8.592912705272257	18.605770877493573	GNRHR
ALDOSTERONE SYNTHESIS AND SECRETION	1/92	0.11712118060654145	0.20597173141150393	0	0	8.403212172442942	18.021076299478864	GDNF
INFLAMMATORY MEDIATOR REGULATION OF TRP CHANNELS	1/97	0.12309252420037428	0.21127959887519732	0	0	7.963541666666667	16.68217820842729	HTR2A
CHOLINE METABOLISM IN CANCER	1/98	0.12428211698541018	0.21127959887519732	0	0	7.8810467882632835	16.43356790965512	MTOR
PROSTATE CANCER	1/103	0.1302068087941927	0.21502676160467368	0	0	7.492835595776772	15.27512883928758	MTOR
GLUCAGON SIGNALING PATHWAY	1/104	0.13138710634697248	0.21502676160467368	0	0	7.419716206123973	15.059110197836317	GDNF
TH17 CELL DIFFERENTIATION	1/106	0.1337430762062543	0.21502676160467368	0	0	7.277655677655678	14.6414399447917	MTOR
INSULIN RESISTANCE	1/107	0.1349187523794031	0.21502676160467368	0	0	7.2086357039187225	14.439492142338379	MTOR
HIF-1 SIGNALING PATHWAY	1/110	0.13843656903810214	0.21723892372132952	0	0	7.009174311926605	13.859542066692878	MTOR
PARATHYROID HORMONE SYNTHESIS, SECRETION AND ACTION	1/112	0.14077412290727195	0.21756000812942028	0	0	6.882189882189882	13.4932121116735	GDNF
TNF SIGNALING PATHWAY	1/118	0.14775019880243187	0.22012422324920797	0	0	6.527284681130835	12.481684449498475	GDNF
THYROID HORMONE SIGNALING PATHWAY	1/119	0.14890756278622894	0.22012422324920797	0	0	6.4716427640156455	12.32478771385482	MTOR
NEUROTROPHIN SIGNALING PATHWAY	1/119	0.14890756278622894	0.22012422324920797	0	0	6.4716427640156455	12.32478771385482	BDNF
AMPK SIGNALING PATHWAY	1/121	0.15121775194381218	0.22034586711812632	0	0	6.363141025641026	12.020192385523371	MTOR
RELAXIN SIGNALING PATHWAY	1/126	0.15696683707587714	0.22550165326393617	0	0	6.1070769230769235	11.308600906176348	GDNF
VASCULAR SMOOTH MUSCLE CONTRACTION	1/131	0.16267841463048652	0.23046108739318924	0	0	5.870710059171597	10.661091720478288	ADM
INSULIN SIGNALING PATHWAY	1/137	0.16948312893832804	0.2351679722240634	0	0	5.610011312217194	9.957780689975772	MTOR
APELIN SIGNALING PATHWAY	1/138	0.17061205828020287	0.2351679722240634	0	0	5.568781583380123	9.847627111259083	MTOR
BREAST CANCER	1/146	0.1795904480842388	0.23766663145790265	0	0	5.2594164456233425	9.030819377495547	MTOR
PHOSPHOLIPASE D SIGNALING PATHWAY	1/147	0.18070614398724902	0.23766663145790265	0	0	5.223129610115912	8.936164079429538	MTOR
ADRENERGIC SIGNALING IN CARDIOMYOCYTES	1/148	0.18182037873406148	0.23766663145790265	0	0	5.187336473050759	8.843039277830465	GDNF
CUSHING SYNDROME	1/151	0.18515433456968078	0.23766663145790265	0	0	5.082820512820513	8.572510028509376	GDNF
INTEGRIN SIGNALING	1/153	0.18736969971053913	0.23766663145790265	0	0	5.015435222672065	8.399206979343194	MTOR
MTOR SIGNALING PATHWAY	1/154	0.18847520618379432	0.23766663145790265	0	0	4.982403217697335	8.314578751183058	MTOR
CELLULAR SENESCENCE	1/156	0.19068187605935943	0.23766663145790265	0	0	4.917617866004963	8.14922459424117	MTOR
NEUTROPHIL EXTRACELLULAR TRAP FORMATION	1/159	0.19398105040680327	0.23766663145790265	0	0	4.823515092502435	7.910539683920624	MTOR
HEPATITIS B	1/161	0.1961733008974975	0.23766663145790265	0	0	4.762740384615385	7.757345893634735	GDNF
CGMP-PKG SIGNALING PATHWAY	1/161	0.1961733008974975	0.23766663145790265	0	0	4.762740384615385	7.757345893634735	GDNF
HEPATOCELLULAR CARCINOMA	1/166	0.2016288360937524	0.23766663145790265	0	0	4.617249417249417	7.393724850129072	MTOR
AUTOPHAGY - ANIMAL	1/167	0.2027156562435052	0.23766663145790265	0	0	4.5892029657089894	7.324143016476034	MTOR
JAK-STAT SIGNALING PATHWAY	1/167	0.2027156562435052	0.23766663145790265	0	0	4.5892029657089894	7.324143016476034	MTOR
HERPES SIMPLEX VIRUS 1 INFECTION	1/181	0.21778235269793225	0.2524295451726033	0	0	4.229273504273504	6.4465086127084605	MTOR
VIRAL CARCINOGENESIS	1/185	0.2220365167633424	0.2544688169647295	0	0	4.136496655518394	6.225069331619422	GDNF
TRANSCRIPTIONAL MISREGULATION IN CANCER	1/189	0.22626839660742984	0.25643751615508714	0	0	4.047667757774141	6.01496943456091	GDNF
KAPOSI SARCOMA-ASSOCIATED HERPESVIRUS INFECTION	1/195	0.2325746788121411	0.26017289896663853	0	0	3.921292624900872	5.719377463010009	MTOR
PROTEOGLYCANS IN CANCER	1/197	0.23466575200912493	0.26017289896663853	0	0	3.8808869701726842	5.62570700950055	MTOR
DIABETIC CARDIOMYOPATHY	1/203	0.24090610338729143	0.2642195972634809	0	0	3.7644706778370143	5.3581519380149905	MTOR
HUMAN IMMUNODEFICIENCY VIRUS 1 INFECTION	1/210	0.24812459282532284	0.26924157944875454	0	0	3.6370997423629	5.069477888036122	MTOR
HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION	1/219	0.2573084274342363	0.27626799577149586	0	0	3.4853563867325335	4.73130091480933	GDNF
CHEMICAL CARCINOGENESIS - REACTIVE OXYGEN SPECIES	1/222	0.2603456291774341	0.2766172310010237	0	0	3.4375217542638357	4.626028358657308	CYP1A2
RAS SIGNALING PATHWAY	1/231	0.26938564169623863	0.2832714995156324	0	0	3.301505016722408	4.330291332393545	BDNF
SHIGELLOSIS	1/242	0.28029011555667255	0.29173052843653674	0	0	3.1490584104691988	4.0053821324344465	MTOR
PRION DISEASE	1/268	0.3054448923258123	0.3147007981538672	0	0	2.8386632094497264	3.36661454644352	GDNF
HUMAN PAPILLOMAVIRUS INFECTION	1/328	0.36030460463658065	0.36751069672931225	0	0	2.310750411667843	2.358826686152752	MTOR
ALZHEIMER DISEASE	1/379	0.4036325745095816	0.40762893663343885	0	0	1.9937932437932437	1.8088694864186032	MTOR
PATHWAYS IN CANCER	1/525	0.5126099360658455	0.5126099360658455	0	0	1.4275543159130946	0.9539490125208696	MTOR
