Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PHOSPHOLIPASE D SIGNALING PATHWAY	3/147	6.147288630544911E-5	0.005163722449657726	0	0	51.6796875	501.1335035004076	AVPR1B;AVPR2;AVPR1A
HORMONE SIGNALING	3/218	1.9757575542276787E-4	0.007382834614531959	0	0	34.48953488372093	294.17464135936007	AVPR1B;AVPR2;AVPR1A
MALARIA	2/50	3.32063883264561E-4	0.007382834614531959	0	0	92.31944444444444	739.4956618223716	IL6;TLR4
LEGIONELLOSIS	2/56	4.1670152036731717E-4	0.007382834614531959	0	0	82.03703703703704	638.505774876317	IL6;TLR4
STEROID HORMONE BIOSYNTHESIS	2/63	5.273453296094256E-4	0.007382834614531959	0	0	72.59744990892531	547.9405021349086	CYP3A4;CYP7B1
INFLAMMATORY BOWEL DISEASE	2/63	5.273453296094256E-4	0.007382834614531959	0	0	72.59744990892531	547.9405021349086	IL6;TLR4
PERTUSSIS	2/77	7.86762964181551E-4	0.00941226877591441	0	0	59.004444444444445	421.73919613452125	IL6;TLR4
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	3/366	8.991781187740562E-4	0.00941226877591441	0	0	20.274793388429753	142.20799717349615	AVPR1B;AVPR2;AVPR1A
BILE SECRETION	2/88	0.0010259088280346563	0.00941226877591441	0	0	51.428940568475454	353.9430409414767	ABCB1;CYP3A4
RHEUMATOID ARTHRITIS	2/92	0.0011205081876088584	0.00941226877591441	0	0	49.13333333333333	333.8105379857244	IL6;TLR4
AMOEBIASIS	2/100	0.0013218400851343036	0.00957660305592126	0	0	45.10430839002267	298.984305122014	IL6;TLR4
CHAGAS DISEASE	2/103	0.0014014910364866255	0.00957660305592126	0	0	43.75797579757976	287.4994657413395	IL6;TLR4
TOLL-LIKE RECEPTOR SIGNALING PATHWAY	2/109	0.0015675506263466887	0.00957660305592126	0	0	41.29179646936656	266.6723724459786	IL6;TLR4
