Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NICOTINE ADDICTION	20/40	5.529924664910435E-45	3.1520570589989482E-43	0	0	830.6666666666666	84650.04608024764	GRIA1;GABRB3;GABRA2;GABRQ;GABRB2;GRIA2;GABRA1;GABRP;GABRB1;GABRA6;GABRA5;GABRA4;GABRA3;GABRG3;GABRG2;GABRG1;GABRE;GABRD;GRIA3;GRIA4
NEUROACTIVE LIGAND SIGNALING	23/195	2.471567067005454E-35	7.0439661409655445E-34	0	0	125.97785160575859	10038.623950363273	GABRB3;GRIA1;GABRA2;GABRQ;GABRB2;GRIA2;GABRA1;GABRP;GABRB1;GABRA6;GABRA5;GABRA4;GABRA3;GRIK3;GRIK4;GRIK1;GABRG3;GABRG2;GABRG1;GABRE;GABRD;GRIA3;GRIA4
RETROGRADE ENDOCANNABINOID SIGNALING	20/146	7.249472088837173E-32	1.3773996968790629E-30	0	0	131.15079365079364	9403.747231900128	GABRB3;GRIA1;GABRA2;GABRQ;GABRB2;GRIA2;GABRA1;GABRP;GABRB1;GABRA6;GABRA5;GABRA4;GABRA3;GABRG3;GABRG2;GABRG1;GABRE;GABRD;GRIA3;GRIA4
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	23/366	7.70657567400689E-29	1.0981870335459819E-27	0	0	62.62654449534916	4053.997450669865	GABRB3;GRIA1;GABRA2;GABRQ;GABRB2;GRIA2;GABRA1;GABRP;GABRB1;GABRA6;GABRA5;GABRA4;GABRA3;GRIK3;GRIK4;GRIK1;GABRG3;GABRG2;GABRG1;GABRE;GABRD;GRIA3;GRIA4
GABAERGIC SYNAPSE	16/86	1.1773066981864297E-27	1.34212963593253E-26	0	0	162.33469387755102	10065.817257454082	GABRB3;GABRA2;GABRQ;GABRB2;GABRA1;GABRP;GABRB1;GABRA6;GABRA5;GABRA4;GABRA3;GABRG3;GABRG2;GABRG1;GABRE;GABRD
MORPHINE ADDICTION	16/89	2.141206880156515E-27	2.0341465361486893E-26	0	0	155.6399217221135	9557.602908022845	GABRB3;GABRA2;GABRQ;GABRB2;GABRA1;GABRP;GABRB1;GABRA6;GABRA5;GABRA4;GABRA3;GABRG3;GABRG2;GABRG1;GABRE;GABRD
TASTE TRANSDUCTION	9/86	2.0489425669546837E-13	1.6684246616630995E-12	0	0	66.38627087198516	1939.5600352773602	GABRA2;GABRA1;GABRA6;GABRA5;GABRA4;SCN9A;GABRA3;SCN2A;SCN3A
NITROGEN METABOLISM	5/17	2.47202346783354E-10	1.7613167208313971E-9	0	0	213.07692307692307	4713.434961115065	CA12;CA1;CA2;CA4;CA7
GLUTAMATERGIC SYNAPSE	7/112	4.61425329064506E-9	2.9223604174085378E-8	0	0	35.76756756756757	686.5268331536099	GRIA1;GRIA2;GRIK3;GRIK4;GRIK1;GRIA3;GRIA4
DOPAMINERGIC SYNAPSE	5/131	9.878679767297177E-6	5.630847467359391E-5	0	0	20.177045177045176	232.54310261759815	GRIA1;GRIA2;GRIA3;GRIA4;SCN1A
AMPHETAMINE ADDICTION	4/67	1.4114104905305087E-5	7.313672541839908E-5	0	0	31.576190476190476	352.6535020815158	GRIA1;GRIA2;GRIA3;GRIA4
