Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CORONAVIRUS DISEASE - COVID-19	2/230	0.17589990815826764	0.28447816896626205	0	0	2.7009320175438596	4.693788100788939	CCL2;TNF
VEGF SIGNALING PATHWAY	1/59	0.1774164924735828	0.28447816896626205	0	0	5.272148541114058	9.11689052087105	AKT1
LONG-TERM DEPRESSION	1/59	0.1774164924735828	0.28447816896626205	0	0	5.272148541114058	9.11689052087105	GRID2
LONGEVITY REGULATING PATHWAY - MULTIPLE SPECIES	1/60	0.18013904565852595	0.28637489309816944	0	0	5.182529335071708	8.88299132386989	AKT1
INFLAMMATORY BOWEL DISEASE	1/63	0.18825356968457513	0.2951900139074151	0	0	4.931017369727047	8.23462864086336	TNF
SHIGELLOSIS	2/242	0.19012883928379837	0.2951900139074151	0	0	2.564322916666667	4.256912810175382	AKT1;TNF
GNRH SECRETION	1/64	0.19094079380840132	0.2951900139074151	0	0	4.852503052503052	8.034735147399807	AKT1
SALMONELLA INFECTION	2/244	0.1925162293501209	0.2951900139074151	0	0	2.542871900826446	4.189571715547762	AKT1;TNF
LONG-TERM POTENTIATION	1/65	0.19361925643389596	0.2951900139074151	0	0	4.7764423076923075	7.842257419945376	GRIN2B
RENAL CELL CARCINOMA	1/66	0.19628898568773417	0.29603761427383624	0	0	4.702721893491124	7.656817955600443	AKT1
ACUTE MYELOID LEUKEMIA	1/67	0.19895000959263187	0.29603761427383624	0	0	4.631235431235432	7.478063695632693	AKT1
AMPHETAMINE ADDICTION	1/67	0.19895000959263187	0.29603761427383624	0	0	4.631235431235432	7.478063695632693	GRIN2B
CENTRAL CARBON METABOLISM IN CANCER	1/68	0.20160235613355587	0.29760347810191584	0	0	4.561882893226177	7.305664108438629	AKT1
RENIN SECRETION	1/69	0.20424605314134422	0.29913201483692936	0	0	4.494570135746606	7.139309452358317	ADRB2
EPITHELIAL CELL SIGNALING IN HELICOBACTER PYLORI INFECTION	1/70	0.20688112837392567	0.2997570413961781	0	0	4.429208472686733	6.978709191032958	TJP1
RIG-I-LIKE RECEPTOR SIGNALING PATHWAY	1/71	0.20950760957797393	0.2997570413961781	0	0	4.365714285714286	6.823590550467072	TNF
NON-SMALL CELL LUNG CANCER	1/71	0.20950760957797393	0.2997570413961781	0	0	4.365714285714286	6.823590550467072	AKT1
MELANOMA	1/72	0.21212552431211049	0.30118585894696603	0	0	4.304008667388949	6.673697207776293	AKT1
GLIOMA	1/75	0.2199281443839533	0.3024554655432786	0	0	4.128898128898129	6.253027948441568	AKT1
P53 SIGNALING PATHWAY	1/75	0.2199281443839533	0.3024554655432786	0	0	4.128898128898129	6.253027948441568	FASN
