Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
OVARIAN STEROIDOGENESIS	1/51	0.005093556593495773	0.026840023688104814	0	0	398.96	2106.4206103192937	PTGS2
REGULATION OF LIPOLYSIS IN ADIPOCYTES	1/58	0.005791660825928318	0.026840023688104814	0	0	349.8421052631579	1802.1542957641839	PTGS2
VEGF SIGNALING PATHWAY	1/59	0.005891370028930815	0.026840023688104814	0	0	343.7931034482759	1765.1254847289586	PTGS2
ARACHIDONIC ACID METABOLISM	1/63	0.006290156902466236	0.026840023688104814	0	0	321.5483870967742	1629.8545813511064	PTGS2
CHEMICAL CARCINOGENESIS - DNA ADDUCTS	1/69	0.006888187383941096	0.026840023688104814	0	0	293.0882352941176	1458.9777918366008	PTGS2
LEISHMANIASIS	1/76	0.007585662344158987	0.026840023688104814	0	0	265.64	1296.7204240033807	PTGS2
CARDIAC MUSCLE CONTRACTION	1/83	0.008282892524427642	0.026840023688104814	0	0	242.8780487804878	1164.2512361347303	PTGS2
SMALL CELL LUNG CANCER	1/92	0.009178971612287867	0.026840023688104814	0	0	218.75824175824175	1026.1599338329622	PTGS2
IL-17 SIGNALING PATHWAY	1/93	0.009278510972657918	0.026840023688104814	0	0	216.3695652173913	1012.6212925756888	PTGS2
NF-KAPPA B SIGNALING PATHWAY	1/104	0.01037311415769714	0.026840023688104814	0	0	193.15533980582524	882.4375092881637	PTGS2
C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY	1/104	0.01037311415769714	0.026840023688104814	0	0	193.15533980582524	882.4375092881637	PTGS2
SEROTONERGIC SYNAPSE	1/111	0.01106936500900182	0.026840023688104814	0	0	180.8	814.246160276376	PTGS2
TNF SIGNALING PATHWAY	1/118	0.011765370989972842	0.026840023688104814	0	0	169.92307692307693	754.8993650142176	PTGS2
OXIDATIVE PHOSPHORYLATION	1/134	0.013355322232053426	0.026840023688104814	0	0	149.3609022556391	644.6178018737029	PTGS2
RETROGRADE ENDOCANNABINOID SIGNALING	1/146	0.014546946009083262	0.026840023688104814	0	0	136.91724137931035	579.2111659699091	PTGS2
OXYTOCIN SIGNALING PATHWAY	1/152	0.015142487993886117	0.026840023688104814	0	0	131.43708609271522	550.7543435812026	PTGS2
NON-ALCOHOLIC FATTY LIVER DISEASE	1/154	0.015340962001823399	0.026840023688104814	0	0	129.7058823529412	541.8111437954401	PTGS2
EFFEROCYTOSIS	1/157	0.015638635525838707	0.026840023688104814	0	0	127.1923076923077	528.8669878232274	PTGS2
MICRORNAS IN CANCER	1/160	0.015936264064812234	0.026840023688104814	0	0	124.77358490566037	516.4575831422806	PTGS2
KAPOSI SARCOMA-ASSOCIATED HERPESVIRUS INFECTION	1/195	0.019405272940630942	0.030359071451165807	0	0	102.08247422680412	402.4305965342857	PTGS2
DIABETIC CARDIOMYOPATHY	1/203	0.020197329462584707	0.030359071451165807	0	0	98.0	382.41607903745984	PTGS2
CHEMICAL CARCINOGENESIS - REACTIVE OXYGEN SPECIES	1/222	0.02207718145452475	0.030359071451165807	0	0	89.48868778280543	341.23922332491236	PTGS2
HUMAN CYTOMEGALOVIRUS INFECTION	1/223	0.02217607104269541	0.030359071451165807	0	0	89.08108108108108	339.28680613767585	PTGS2
THERMOGENESIS	1/229	0.022769303588374357	0.030359071451165807	0	0	86.71052631578948	327.96886413779106	PTGS2
PARKINSON DISEASE	1/263	0.026127555206944056	0.03276421945132267	0	0	75.32824427480917	274.5537306563038	PTGS2
PRION DISEASE	1/268	0.02662092830419967	0.03276421945132267	0	0	73.89887640449439	267.9615819885477	PTGS2
HUNTINGTON DISEASE	1/303	0.030071040398307065	0.03563975158317874	0	0	65.21854304635761	228.538341362978	PTGS2
HUMAN PAPILLOMAVIRUS INFECTION	1/328	0.032531656545412645	0.03717903605190016	0	0	60.15596330275229	206.06675575448034	PTGS2
AMYOTROPHIC LATERAL SCLEROSIS	1/362	0.03587307989019053	0.039584088154693	0	0	54.39612188365651	181.0176807216631	PTGS2
ALZHEIMER DISEASE	1/379	0.03754162420529683	0.04004439915231662	0	0	51.904761904761905	170.3672586294314	PTGS2
PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES	1/469	0.04635102016614153	0.04784621436504932	0	0	41.73076923076923	128.1765575082199	PTGS2
PATHWAYS IN CANCER	1/525	0.05181198268028948	0.05181198268028948	0	0	37.16412213740458	110.01077522326204	PTGS2
