Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BREAST CANCER	7/146	1.7480513074677103E-11	2.4647523435294716E-9	0	0	99.93381294964028	2475.3539905082243	PIK3CA;ERBB2;CTNNB1;TNFSF11;PGR;ESR1;ESR2
CHEMICAL CARCINOGENESIS - RECEPTOR ACTIVATION	7/195	1.3461400521525886E-10	9.49028736767575E-9	0	0	73.70478723404256	1675.2073386366308	PIK3CA;CYP1B1;TNFSF11;PGR;CYP3A4;ESR1;ESR2
ESTROGEN SIGNALING PATHWAY	5/135	7.540522575375964E-8	3.544045610426703E-6	0	0	63.631410256410255	1043.5798971932218	PIK3CA;MMP2;PGR;ESR1;ESR2
PATHWAYS IN CANCER	7/525	1.2773151542489855E-7	4.502535918727674E-6	0	0	26.304054054054053	417.53307005652573	PIK3CA;CDKN2A;MMP2;ERBB2;CTNNB1;ESR1;ESR2
PROLACTIN SIGNALING PATHWAY	4/69	2.9841568453594475E-7	8.415322303913642E-6	0	0	94.28639053254437	1416.6321246303487	PIK3CA;TNFSF11;ESR1;ESR2
PROTEOGLYCANS IN CANCER	5/197	4.952932544114866E-7	1.1639391478669936E-5	0	0	42.94921875	623.5417320468113	PIK3CA;MMP2;ERBB2;CTNNB1;ESR1
BLADDER CANCER	3/40	4.942204676055385E-6	9.955012276054418E-5	0	0	115.51737451737452	1411.356515238633	CDKN2A;MMP2;ERBB2
MICRORNAS IN CANCER	4/160	8.656296406518695E-6	1.5256722416489202E-4	0	0	39.10650887573964	455.8733179276119	PIK3CA;CDKN2A;ERBB2;CYP1B1
ENDOMETRIAL CANCER	3/58	1.528981123223317E-5	2.3954037597165295E-4	0	0	77.64155844155844	860.9147468531743	PIK3CA;ERBB2;CTNNB1
STEROID HORMONE BIOSYNTHESIS	3/63	1.9626083271136438E-5	2.7672777412302376E-4	0	0	71.15357142857142	771.2087350403838	CYP1B1;CYP3A4;CYP19A1
CHEMICAL CARCINOGENESIS - DNA ADDUCTS	3/69	2.5812886349118805E-5	3.1709987022592674E-4	0	0	64.66558441558442	683.1684076264532	CYP2A6;CYP1B1;CYP3A4
NON-SMALL CELL LUNG CANCER	3/71	2.812893379316708E-5	3.1709987022592674E-4	0	0	62.75735294117647	657.6162172501896	PIK3CA;CDKN2A;ERBB2
HORMONE SIGNALING	4/218	2.923615824778048E-5	3.1709987022592674E-4	0	0	28.424155283968368	296.7511463324173	PIK3CA;GNRHR;ESR1;ESR2
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	3/76	3.450756879106439E-5	3.373441696081151E-4	0	0	58.44422700587084	600.475384304079	CYP2A6;CYP1B1;CYP3A4
PANCREATIC CANCER	3/77	3.5887677617884584E-5	3.373441696081151E-4	0	0	57.6515444015444	590.0702770001902	PIK3CA;CDKN2A;ERBB2
PROSTATE CANCER	3/103	8.558724851199656E-5	7.542376275119697E-4	0	0	42.60642857142857	399.0507129651805	PIK3CA;ERBB2;CTNNB1
LEUKOCYTE TRANSENDOTHELIAL MIGRATION	3/116	1.218275680350221E-4	0.0010104521819375364	0	0	37.68015170670038	339.6075858837729	PIK3CA;MMP2;CTNNB1
THYROID HORMONE SIGNALING PATHWAY	3/119	1.314060467494406E-4	0.0010293473662039512	0	0	36.70012315270936	327.99701721055874	PIK3CA;CTNNB1;ESR1
OSTEOCLAST DIFFERENTIATION	3/134	1.8668471609952294E-4	0.0013853971036859336	0	0	32.47328244274809	278.8185053266654	PIK3CA;TNFSF11;TNFRSF11B
FLUID SHEAR STRESS AND ATHEROSCLEROSIS	3/138	2.0361244604167337E-4	0.0014354677445937972	0	0	31.504761904761907	267.7681753962348	PIK3CA;MMP2;CTNNB1
GASTRIC CANCER	3/146	2.4039407759327174E-4	0.001614074520983396	0	0	29.73026973026973	247.7492050942674	PIK3CA;ERBB2;CTNNB1
INTEGRIN SIGNALING	3/153	2.759021738282366E-4	0.001768282114080971	0	0	28.332857142857144	232.20091633363015	PIK3CA;ERBB2;CTNNB1
