Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CGMP-PKG SIGNALING PATHWAY	4/161	7.123747574936016E-5	1.19577191436426E-4	0	0	21.03503184713376	200.87385852527566	CACNA1D;CACNA1C;CACNA1S;CACNA1F
PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES	5/469	4.3671752568354085E-4	7.077835761078075E-4	0	0	9.139805097451275	70.70757924119347	CACNA1B;CACNA1D;CACNA1C;CACNA1S;CACNA1F
GLUTAMATERGIC SYNAPSE	3/112	5.056958220375196E-4	7.922567878587807E-4	0	0	21.867522935779817	165.96521001366057	CACNA1A;CACNA1D;CACNA1C
NICOTINE ADDICTION	2/40	0.0014265186232744749	0.002162786299803236	0	0	40.35222672064777	264.40870533107534	CACNA1B;CACNA1A
ALZHEIMER DISEASE	4/379	0.0018131571771619304	0.0026630746039565853	0	0	8.709777777777777	54.98208924863372	CACNA1D;CACNA1C;CACNA1S;CACNA1F
AMPHETAMINE ADDICTION	2/67	0.003950421242407192	0.00562635752706479	0	0	23.558579881656804	130.37160410340698	CACNA1D;CACNA1C
SYNAPTIC VESICLE CYCLE	2/78	0.0053148264076905045	0.007346965916513344	0	0	20.13765182186235	105.46601625349733	CACNA1B;CACNA1A
TASTE TRANSDUCTION	2/86	0.006424304780695358	0.008626923562648051	0	0	18.21245421245421	91.93040155644884	CACNA1A;CACNA1C
MORPHINE ADDICTION	2/89	0.0068652879933939134	0.008963014880264276	0	0	17.581786030061892	87.57975146346061	CACNA1B;CACNA1A
VIRION - HEPATITIS VIRUSES	1/47	0.06379584547542906	0.07890538782487279	0	0	16.043478260869566	44.15273043509633	DPP4
CARBOHYDRATE DIGESTION AND ABSORPTION	1/47	0.06379584547542906	0.07890538782487279	0	0	16.043478260869566	44.15273043509633	CACNA1D
LONG-TERM DEPRESSION	1/59	0.0794442623905929	0.09574052134250939	0	0	12.71647509578544	32.20701145480839	CACNA1A
LONG-TERM POTENTIATION	1/65	0.08717358724879472	0.1024289650173338	0	0	11.520833333333334	28.10915005286859	CACNA1C
PROTEIN DIGESTION AND ABSORPTION	1/102	0.13347293752000114	0.15300556252292813	0	0	7.286762009534287	14.674493305715684	DPP4
SPINOCEREBELLAR ATAXIA	1/143	0.18213245151996546	0.20381488622472327	0	0	5.172143974960877	8.8082703267003	CACNA1A
CELLULAR SENESCENCE	1/156	0.1970030819520549	0.21532895004061814	0	0	4.735244922341696	7.6925753997634265	CACNA1D
TIGHT JUNCTION	1/169	0.21161281847829336	0.22604096519272243	0	0	4.365961199294532	6.780324653409069	CACNA1D
HORMONE SIGNALING	1/218	0.264410709461133	0.2761622965482945	0	0	3.3717357910906296	4.485257156967689	GLP1R
HUNTINGTON DISEASE	1/303	0.348016686360114	0.3555822664983774	0	0	2.4123129752268824	2.546208047594442	CACNA1B
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	1/366	0.40399016018559997	0.40399016018559997	0	0	1.9895484525621512	1.8032566003308217	GLP1R
