Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
DOPAMINERGIC SYNAPSE	6/131	1.9483849639815623E-12	4.2864469207594374E-11	0	0	476.808	12856.660596027099	MAOB;DRD1;DRD2;DRD3;DRD4;DRD5
NEUROACTIVE LIGAND SIGNALING	6/195	2.190759948785431E-11	2.409835943663974E-10	0	0	314.3333333333333	7715.056280490226	HTR1A;DRD1;DRD2;DRD3;DRD4;DRD5
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	6/366	9.788235477708796E-10	7.178039350319783E-9	0	0	163.6	3393.827967313193	HTR1A;DRD1;DRD2;DRD3;DRD4;DRD5
HORMONE SIGNALING	5/218	8.012905653857953E-9	4.407098109621874E-8	0	0	154.76525821596243	2885.1668140005104	DRD1;DRD2;DRD3;DRD4;DRD5
COCAINE ADDICTION	3/48	7.203624781005209E-7	3.169594903642292E-6	0	0	265.96	3761.6082679582214	MAOB;DRD1;DRD2
CAMP SIGNALING PATHWAY	4/222	9.987810975357405E-7	3.6621973576310483E-6	0	0	90.70642201834862	1253.2661607881043	HTR1A;DRD1;DRD2;DRD5
ALCOHOLISM	3/153	2.3900603305976925E-5	7.511618181878461E-5	0	0	79.368	844.6030529801442	MAOB;DRD1;DRD2
PARKINSON DISEASE	3/263	1.198922088621031E-4	3.2970357437078356E-4	0	0	45.535384615384615	411.1352300368491	MAOB;DRD1;DRD2
AMPHETAMINE ADDICTION	2/67	3.055452634351024E-4	7.468884217302504E-4	0	0	102.18974358974359	827.0637612734779	MAOB;DRD1
GAP JUNCTION	2/85	4.915767701450155E-4	0.0010814688943190343	0	0	79.95582329317268	609.0948613959647	DRD1;DRD2
SEROTONERGIC SYNAPSE	2/111	8.362746588173516E-4	0.0016725493176347032	0	0	60.80428134556575	430.8927903267901	MAOB;HTR1A
CALCIUM SIGNALING PATHWAY	2/250	0.004146431795133269	0.007601791624410993	0	0	26.537634408602152	145.5723825756494	DRD1;DRD5
PHENYLALANINE METABOLISM	1/16	0.006383144070851652	0.010802243812210488	0	0	190.25714285714287	961.5775796687342	MAOB
HISTIDINE METABOLISM	1/22	0.008767627745742801	0.013777700743310115	0	0	135.85714285714286	643.5130349149837	MAOB
TYROSINE METABOLISM	1/36	0.014311968554805366	0.020764972938419765	0	0	81.45714285714286	345.92071940977723	MAOB
GLYCINE, SERINE AND THREONINE METABOLISM	1/38	0.015101798500668919	0.020764972938419765	0	0	77.04633204633204	323.0507581480842	MAOB
TRYPTOPHAN METABOLISM	1/42	0.016679797556906864	0.021585620367761824	0	0	69.51567944250871	284.56639751252425	MAOB
ARGININE AND PROLINE METABOLISM	1/50	0.01982916145118511	0.024235641773670692	0	0	58.142857142857146	227.9549801512961	MAOB
DRUG METABOLISM - CYTOCHROME P450	1/69	0.027273557473830964	0.03157990865390954	0	0	41.857142857142854	150.7626325151401	MAOB
TASTE TRANSDUCTION	1/86	0.03389235304552857	0.036725622602906585	0	0	33.457142857142856	113.23790361856584	HTR1A
MORPHINE ADDICTION	1/89	0.035056276120956284	0.036725622602906585	0	0	32.311688311688314	108.27002521488092	DRD1
RAP1 SIGNALING PATHWAY	1/210	0.08099034764934519	0.08099034764934519	0	0	13.522214627477785	33.98707630579846	DRD2
