Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FOLATE BIOSYNTHESIS	1/27	0.17398998690252823	0.21773048640316384	0	0	5.448626373626373	9.528326387924153	AKR1C3
SEROTONERGIC SYNAPSE	2/111	0.18444565054812082	0.22953236512655034	0	0	2.6070886410137946	4.407023775128821	CASP3;HRAS
LINOLEIC ACID METABOLISM	1/30	0.19136134709440114	0.23682288259196604	0	0	4.884236453201971	8.07653319521709	CYP3A4
LEUKOCYTE TRANSENDOTHELIAL MIGRATION	2/116	0.19718380472862146	0.24268775966599565	0	0	2.4921115738987756	4.046239617539592	PIK3CA;MMP2
PROPANOATE METABOLISM	1/32	0.2027402359055986	0.24816291170958515	0	0	4.568663594470046	7.290809260971931	ACSS2
ALANINE, ASPARTATE AND GLUTAMATE METABOLISM	1/36	0.22502321907002945	0.2739413101722098	0	0	4.045714285714285	6.034391964883168	FOLH1
ALDOSTERONE-REGULATED SODIUM REABSORPTION	1/37	0.23049664965110542	0.2761029386195059	0	0	3.9331349206349207	5.771950035968074	PIK3CA
AFRICAN TRYPANOSOMIASIS	1/37	0.23049664965110542	0.2761029386195059	0	0	3.9331349206349207	5.771950035968074	FASN
ALLOGRAFT REJECTION	1/37	0.23049664965110542	0.2761029386195059	0	0	3.9331349206349207	5.771950035968074	FASN
DOPAMINERGIC SYNAPSE	2/131	0.23594102590377383	0.2811212223534326	0	0	2.200658078188612	3.1781318489416925	AKT1;FOS
FERROPTOSIS	1/41	0.2520091854416561	0.2986775531160369	0	0	3.539107142857143	4.877915070731704	TP53
GRAFT-VERSUS-HOST DISEASE	1/42	0.2572933454205091	0.3017471694983981	0	0	3.4526132404181187	4.687055134122964	FASN
TYPE I DIABETES MELLITUS	1/42	0.2572933454205091	0.3017471694983981	0	0	3.4526132404181187	4.687055134122964	FASN
BASE EXCISION REPAIR	1/43	0.26254043843162767	0.3062971781702323	0	0	3.3702380952380953	4.507188447974645	XRCC1
SPINOCEREBELLAR ATAXIA	2/143	0.2672476452551816	0.30915547361678986	0	0	2.0121434767079953	2.655183363679503	PIK3CA;AKT1
BASAL TRANSCRIPTION FACTORS	1/44	0.26775072268596983	0.30915547361678986	0	0	3.2916943521594684	4.33746193003851	ERCC2
PYRUVATE METABOLISM	1/45	0.2729244545285779	0.31351321956103306	0	0	3.216720779220779	4.177105724546927	ACSS2
VIRION - HEPATITIS VIRUSES	1/47	0.28316327768736294	0.32197245787801676	0	0	3.076552795031056	3.881783864417528	EGFR
TYPE II DIABETES MELLITUS	1/47	0.28316327768736294	0.32197245787801676	0	0	3.076552795031056	3.881783864417528	PIK3CA
COCAINE ADDICTION	1/48	0.28822887297507993	0.32607710882029245	0	0	3.0109422492401214	3.7456134124770153	BDNF
