Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ESTROGEN SIGNALING PATHWAY	2/135	4.462736840000329E-4	0.003130083037781373	0	0	99.55889724310777	768.0548935974338	PGR;ESR1
BREAST CANCER	2/146	5.216805062968955E-4	0.003130083037781373	0	0	91.90277777777777	694.643029909295	PGR;ESR1
CHEMICAL CARCINOGENESIS - RECEPTOR ACTIVATION	2/195	9.276507005693903E-4	0.003710602802277561	0	0	68.40069084628671	477.63212634540446	PGR;ESR1
ENDOCRINE AND OTHER FACTOR-REGULATED CALCIUM REABSORPTION	1/50	0.012438777192772534	0.034265894538619945	0	0	101.76530612244898	446.4379351400606	ESR1
STEROID HORMONE BIOSYNTHESIS	1/63	0.01565251000400841	0.034265894538619945	0	0	80.375	334.1288407937727	SRD5A1
PROLACTIN SIGNALING PATHWAY	1/69	0.017132947269309973	0.034265894538619945	0	0	73.26102941176471	297.9344326341269	ESR1
PROGESTERONE-MEDIATED OOCYTE MATURATION	1/108	0.02671243741313172	0.04410119452200459	0	0	46.467289719626166	168.33361194919559	PGR
THYROID HORMONE SIGNALING PATHWAY	1/119	0.02940079634800306	0.04410119452200459	0	0	42.11228813559322	148.51881810168607	ESR1
OOCYTE MEIOSIS	1/136	0.03354384630341102	0.04472512840454802	0	0	36.77777777777778	124.85694585579758	PGR
PROTEOGLYCANS IN CANCER	1/197	0.04829378686343229	0.057952544236118744	0	0	25.253826530612244	76.53051828362327	ESR1
HORMONE SIGNALING	1/218	0.05332975409876869	0.05817791356229311	0	0	22.785714285714285	66.79087257399802	ESR1
PATHWAYS IN CANCER	1/525	0.12454935343122782	0.12454935343122782	0	0	9.289599236641221	19.350729681598704	ESR1
