Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CHEMICAL CARCINOGENESIS - RECEPTOR ACTIVATION	4/195	1.2944410197420205E-7	2.7183261414582433E-6	0	0	207.36125654450262	3288.7529904803127	CYP2B6;PGR;ESR1;ESR2
ESTROGEN SIGNALING PATHWAY	3/135	5.926534396450913E-6	5.249926124068481E-5	0	0	150.46969696969697	1811.06394623577	PGR;ESR1;ESR2
BREAST CANCER	3/146	7.499894462954973E-6	5.249926124068481E-5	0	0	138.8181818181818	1638.1408361033598	PGR;ESR1;ESR2
ARACHIDONIC ACID METABOLISM	2/63	1.4528937987106567E-4	5.231588665040119E-4	0	0	163.38524590163934	1443.799976685783	CYP2C9;CYP2B6
RETINOL METABOLISM	2/66	1.595090353130553E-4	5.231588665040119E-4	0	0	155.703125	1361.3762585389682	CYP2C9;CYP2B6
PROLACTIN SIGNALING PATHWAY	2/69	1.7438628883467062E-4	5.231588665040119E-4	0	0	148.7089552238806	1286.9626419636907	ESR1;ESR2
DRUG METABOLISM - CYTOCHROME P450	2/69	1.7438628883467062E-4	5.231588665040119E-4	0	0	148.7089552238806	1286.9626419636907	CYP2C9;CYP2B6
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	2/76	2.116527257361983E-4	5.555884050575205E-4	0	0	134.59459459459458	1138.7461429354153	CYP2C9;CYP2B6
LIPID AND ATHEROSCLEROSIS	2/214	0.0016616233036049865	0.0036194461835342678	0	0	46.655660377358494	298.59437235191905	CYP2C9;CYP2B6
HORMONE SIGNALING	2/218	0.0017235458016829845	0.0036194461835342678	0	0	45.782407407407405	291.33047096383444	ESR1;ESR2
LINOLEIC ACID METABOLISM	1/30	0.008967337727522093	0.016831502068581784	0	0	137.68965517241378	649.0919521468393	CYP2C9
PATHWAYS IN CANCER	2/525	0.009618001182046735	0.016831502068581784	0	0	18.61472275334608	86.44898414182373	ESR1;ESR2
ENDOCRINE AND OTHER FACTOR-REGULATED CALCIUM REABSORPTION	1/50	0.014908284799373634	0.024082613906680487	0	0	81.40816326530613	342.3895623444841	ESR1
STEROID HORMONE BIOSYNTHESIS	1/63	0.018753965791591908	0.026668975957029422	0	0	64.29677419354839	255.6664806393233	SRD5A1
GNRH SECRETION	1/64	0.0190492685407353	0.026668975957029422	0	0	63.27301587301587	250.60711544601855	ESR2
CHEMICAL CARCINOGENESIS - DNA ADDUCTS	1/69	0.02052467181593053	0.02693863175840882	0	0	58.60588235294118	227.74993771071073	CYP2C9
PROGESTERONE-MEDIATED OOCYTE MATURATION	1/108	0.0319694869760854	0.03831942533900924	0	0	37.17196261682243	127.98207714314651	PGR
SEROTONERGIC SYNAPSE	1/111	0.032845221719150774	0.03831942533900924	0	0	36.152727272727276	123.49587265377751	CYP2C9
THYROID HORMONE SIGNALING PATHWAY	1/119	0.03517728754969164	0.0388801599233434	0	0	33.68813559322034	112.7661371492705	ESR1
OOCYTE MEIOSIS	1/136	0.04011737243482153	0.04212324105656261	0	0	29.42074074074074	94.61550793242431	PGR
PROTEOGLYCANS IN CANCER	1/197	0.057670415374589494	0.057670415374589494	0	0	20.20204081632653	57.63664404050928	ESR1
