Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NEUROACTIVE LIGAND SIGNALING	5/195	6.270580172868002E-8	1.2541160345736005E-6	0	0	74.42857142857143	1234.38385430255	SLC5A7;ADORA2A;ADORA2B;ADORA3;ADORA1
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	4/366	4.861748253653658E-5	4.861748253653658E-4	0	0	27.107734806629836	269.221210137366	ADORA2A;ADORA2B;ADORA3;ADORA1
INOSITOL PHOSPHATE METABOLISM	2/78	9.662232834523858E-4	0.006441488556349239	0	0	52.4	363.7668578681481	PI4K2B;PI4K2A
PHOSPHATIDYLINOSITOL SIGNALING SYSTEM	2/98	0.0015191345837264401	0.007595672918632201	0	0	41.44166666666667	268.9404392083059	PI4K2B;PI4K2A
SPHINGOLIPID SIGNALING PATHWAY	2/123	0.002378188173300596	0.008972577212187442	0	0	32.83801652892562	198.3881300558226	ADORA3;ADORA1
VASCULAR SMOOTH MUSCLE CONTRACTION	2/131	0.0026917731636562324	0.008972577212187442	0	0	30.789147286821706	182.19647659489397	ADORA2A;ADORA2B
ALCOHOLISM	2/153	0.0036490174619045225	0.010077885823236668	0	0	26.274172185430462	147.48474073788606	ADORA2A;ADORA2B
CGMP-PKG SIGNALING PATHWAY	2/161	0.004031154329294667	0.010077885823236668	0	0	24.942138364779876	137.52353090590074	ADORA3;ADORA1
RAP1 SIGNALING PATHWAY	2/210	0.006757112783838674	0.015015806186308165	0	0	19.01923076923077	95.04213130249194	ADORA2A;ADORA2B
CAMP SIGNALING PATHWAY	2/222	0.007523245739472788	0.015046491478945576	0	0	17.970909090909092	87.87338966285853	ADORA2A;ADORA1
CALCIUM SIGNALING PATHWAY	2/250	0.009456927678671807	0.017194413961221466	0	0	15.919354838709678	74.20023577459912	ADORA2A;ADORA2B
REGULATION OF LIPOLYSIS IN ADIPOCYTES	1/58	0.03425934385492052	0.057098906424867535	0	0	31.78787878787879	107.24581633848625	ADORA1
RENIN SECRETION	1/69	0.04063414727978552	0.06251407273813157	0	0	26.63101604278075	85.30304582535365	ADORA1
INSULIN SECRETION	1/81	0.047544470857634545	0.06792067265376364	0	0	22.62272727272727	68.91085828119516	TRPM4
MORPHINE ADDICTION	1/89	0.05212597345862037	0.06950129794482715	0	0	20.55785123966942	60.72978231311063	ADORA1
CHOLINE METABOLISM IN CANCER	1/98	0.05725601186319688	0.0715700148289961	0	0	18.64198687910028	53.32023276493544	SLC5A7
CHOLINERGIC SYNAPSE	1/111	0.06462114644988506	0.07602487817633537	0	0	16.42809917355372	45.00007230598145	SLC5A7
PURINE METABOLISM	1/124	0.07193350293635734	0.07992611437373037	0	0	14.682187730968218	38.64371128216157	AMPD1
CYTOSKELETON IN MUSCLE CELLS	1/230	0.12963066581249844	0.13645333243420887	0	0	7.84398570861453	16.02577975375496	AMPD1
PARKINSON DISEASE	1/263	0.14691004090924942	0.14691004090924942	0	0	6.844552394170715	13.1274055429777	ADORA2A
