Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CHEMICAL CARCINOGENESIS - RECEPTOR ACTIVATION	8/195	8.055699321469468E-12	1.1600207022916033E-9	0	0	70.5632798573975	1802.5136718333702	PIK3CA;CYP1B1;TNFSF11;UGT1A4;PGR;CYP3A4;ESR1;ESR2
BREAST CANCER	7/146	6.841653069478223E-11	4.9259902100243205E-9	0	0	76.86054233536248	1798.9522482125474	PIK3CA;ERBB2;TNFSF11;CTNNB1;PGR;ESR1;ESR2
PATHWAYS IN CANCER	8/525	2.0395999927178605E-8	9.79007996504573E-7	0	0	25.097356544165056	444.42215851377773	PIK3CA;CDKN2A;MMP2;ERBB2;IGF2;CTNNB1;ESR1;ESR2
PROTEOGLYCANS IN CANCER	6/197	2.9237205625050617E-8	1.0525394025018222E-6	0	0	44.403141361256544	770.29787132446	PIK3CA;MMP2;ERBB2;IGF2;CTNNB1;ESR1
ESTROGEN SIGNALING PATHWAY	5/135	1.8588017248796783E-7	5.3533489676534736E-6	0	0	50.8974358974359	788.8167886020972	PIK3CA;MMP2;PGR;ESR1;ESR2
STEROID HORMONE BIOSYNTHESIS	4/63	4.16924855446774E-7	8.90742460916946E-6	0	0	84.41101694915254	1240.0282129497211	CYP1B1;UGT1A4;CYP3A4;CYP19A1
MICRORNAS IN CANCER	5/160	4.32999807390182E-7	8.90742460916946E-6	0	0	42.634408602150536	624.7018894161247	ABCB1;PIK3CA;CDKN2A;ERBB2;CYP1B1
CHEMICAL CARCINOGENESIS - DNA ADDUCTS	4/69	6.027723462256221E-7	9.644357539609953E-6	0	0	76.59615384615384	1096.9891469412053	CYP2A6;CYP1B1;UGT1A4;CYP3A4
PROLACTIN SIGNALING PATHWAY	4/69	6.027723462256221E-7	9.644357539609953E-6	0	0	76.59615384615384	1096.9891469412053	PIK3CA;TNFSF11;ESR1;ESR2
METABOLISM OF XENOBIOTICS BY CYTOCHROME P450	4/76	8.905527818155236E-7	1.282396005814354E-5	0	0	69.125	963.0096469394232	CYP2A6;CYP1B1;UGT1A4;CYP3A4
BLADDER CANCER	3/40	8.251090223899674E-6	1.0801427202195937E-4	0	0	95.11764705882354	1113.367773970659	CDKN2A;MMP2;ERBB2
GASTRIC CANCER	4/146	1.2054970518345034E-5	1.446596462201404E-4	0	0	34.92605633802817	395.5736838255317	ABCB1;PIK3CA;ERBB2;CTNNB1
HEPATOCELLULAR CARCINOMA	4/166	1.998933833870661E-5	2.2142036313644244E-4	0	0	30.583333333333332	330.9211936690357	PIK3CA;CDKN2A;IGF2;CTNNB1
ENDOMETRIAL CANCER	3/58	2.5474983887326053E-5	2.6202840569821084E-4	0	0	63.93048128342246	676.2447150996445	PIK3CA;ERBB2;CTNNB1
RETINOL METABOLISM	3/66	3.758775479037288E-5	3.6084244598757966E-4	0	0	55.78991596638655	568.4340939675292	CYP2A6;UGT1A4;CYP3A4
DRUG METABOLISM - CYTOCHROME P450	3/69	4.295479506296637E-5	3.8659315556669734E-4	0	0	53.24598930481283	535.4077120365109	CYP2A6;UGT1A4;CYP3A4
NON-SMALL CELL LUNG CANCER	3/71	4.679837745971946E-5	3.964097855411531E-4	0	0	51.674740484429066	515.1796978751444	PIK3CA;CDKN2A;ERBB2
HORMONE SIGNALING	4/218	5.800799765928021E-5	4.5220894599463793E-4	0	0	23.0911214953271	225.25226610167215	PIK3CA;IGF2;ESR1;ESR2
PANCREATIC CANCER	3/77	5.9666458152070285E-5	4.5220894599463793E-4	0	0	47.470588235294116	461.7340948301653	PIK3CA;CDKN2A;ERBB2
DRUG METABOLISM - OTHER ENZYMES	3/81	6.941600980968772E-5	4.997952706297516E-4	0	0	45.02714932126697	431.15265168858576	CYP2A6;UGT1A4;CYP3A4
BILE SECRETION	3/88	8.888334603409306E-5	6.094858013766381E-4	0	0	41.30449826989619	385.29603286165394	ABCB1;UGT1A4;CYP3A4
PROSTATE CANCER	3/103	1.4188183374609618E-4	9.286810936108114E-4	0	0	35.082352941176474	310.8477496762645	PIK3CA;ERBB2;CTNNB1
LEUKOCYTE TRANSENDOTHELIAL MIGRATION	3/116	2.016648611752434E-4	0.0012625973917058718	0	0	31.02602811035919	263.99747426144927	PIK3CA;MMP2;CTNNB1
THYROID HORMONE SIGNALING PATHWAY	3/119	2.1744727153529255E-4	0.0013046836292117552	0	0	30.219066937119674	254.85413787677368	PIK3CA;CTNNB1;ESR1
OSTEOCLAST DIFFERENTIATION	3/134	3.0840217370871873E-4	0.0017763965205622198	0	0	26.738661876964525	216.15817338090818	PIK3CA;TNFSF11;TNFRSF11B
FLUID SHEAR STRESS AND ATHEROSCLEROSIS	3/138	3.362160284323273E-4	0.001862119542086736	0	0	25.941176470588236	207.47121695946961	PIK3CA;MMP2;CTNNB1
INTEGRIN SIGNALING	3/153	4.548203149596657E-4	0.00242570834645155	0	0	23.32941176470588	179.53401082565014	PIK3CA;ERBB2;CTNNB1
FOCAL ADHESION	3/199	9.762941894855289E-4	0.005020941545925577	0	0	17.812725090036015	123.47329646054865	PIK3CA;ERBB2;CTNNB1
OVARIAN STEROIDOGENESIS	2/51	0.0011762077962531588	0.005840480091739823	0	0	45.19501133786848	304.8611297728522	CYP1B1;CYP19A1
HUMAN CYTOMEGALOVIRUS INFECTION	3/223	0.0013552035158343894	0.006504976876005069	0	0	15.850267379679144	104.67205341279396	PIK3CA;CDKN2A;CTNNB1
GNRH SECRETION	2/64	0.0018453715711163692	0.008572048588411521	0	0	35.69534050179212	224.7048323380627	PIK3CA;ESR2
CENTRAL CARBON METABOLISM IN CANCER	2/68	0.002080209719608933	0.0093609437382402	0	0	33.525252525252526	207.02804146104273	PIK3CA;ERBB2
MELANOMA	2/72	0.0023284906232039306	0.010160686355798969	0	0	31.603174603174605	191.59535285451057	PIK3CA;CDKN2A
GLIOMA	2/75	0.002523462795508951	0.010656469248094314	0	0	30.299847792998477	181.25742230270302	PIK3CA;CDKN2A
CHRONIC MYELOID LEUKEMIA	2/76	0.002590114053356257	0.010656469248094314	0	0	29.88888888888889	178.0198173382836	PIK3CA;CDKN2A
BACTERIAL INVASION OF EPITHELIAL CELLS	2/78	0.002725898036056179	0.010903592144224716	0	0	29.099415204678362	171.83080571225088	PIK3CA;CTNNB1
MAPK SIGNALING PATHWAY	3/296	0.0030354128686187177	0.011670672849159265	0	0	11.857257578799437	68.7413579051616	ERBB2;IGF2;MAP4K4
ERBB SIGNALING PATHWAY	2/83	0.003079760890750362	0.011670672849159265	0	0	27.296296296296298	157.851842417783	PIK3CA;ERBB2
COLORECTAL CANCER	2/86	0.0033018930995042783	0.012191605290477336	0	0	26.317460317460316	150.3584751342039	PIK3CA;CTNNB1
ADHERENS JUNCTION	2/92	0.0037680465442261175	0.013564967559214023	0	0	24.555555555555557	137.04943154835937	ERBB2;CTNNB1
AGE-RAGE SIGNALING PATHWAY IN DIABETIC COMPLICATIONS	2/100	0.004434499847536051	0.015574828732809543	0	0	22.541950113378686	122.13995997533476	PIK3CA;MMP2
PI3K-AKT SIGNALING PATHWAY	3/355	0.005051783584300124	0.01725178552703209	0	0	9.84024064171123	52.0353294210315	PIK3CA;ERBB2;IGF2
PROGESTERONE-MEDIATED OOCYTE MATURATION	2/108	0.005151574844877637	0.01725178552703209	0	0	20.832285115303982	109.75391117798864	PIK3CA;PGR
HIF-1 SIGNALING PATHWAY	2/110	0.005338663152530057	0.017471988499189278	0	0	20.444444444444443	106.98128006787495	PIK3CA;ERBB2
CAFFEINE METABOLISM	1/6	0.0059856908667451705	0.01915421077358455	0	0	210.26315789473685	1076.2074808846232	CYP2A6
RELAXIN SIGNALING PATHWAY	2/126	0.0069461182181489774	0.021744370074205495	0	0	17.7921146953405	88.41920044097769	PIK3CA;MMP2
SIGNALING PATHWAYS REGULATING PLURIPOTENCY OF STEM CELLS	2/141	0.008628173315752068	0.026435254414219102	0	0	15.860111910471623	75.37871014360769	PIK3CA;CTNNB1
CUSHING SYNDROME	2/151	0.009841197065109521	0.029523591195328564	0	0	14.788217747949291	68.338985367858	CDKN2A;CTNNB1
