Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NEUROACTIVE LIGAND SIGNALING	13/195	3.936312967399177E-23	1.6138883166336626E-21	0	0	282.85714285714283	14592.37729207758	HTR1E;HTR1F;HTR1D;HTR1A;HTR2B;HTR1B;HTR2A;OPRM1;HTR5A;HTR6;HTR7;GNB3;DRD2
SEROTONERGIC SYNAPSE	11/111	2.847203389432367E-21	5.836766948336353E-20	0	0	312.43142857142857	14780.490309811337	HTR6;HTR7;HTR1E;HTR1F;HTR1D;HTR1A;HTR2B;HTR1B;GNB3;HTR2A;HTR5A
NEUROACTIVE LIGAND-RECEPTOR INTERACTION	13/366	1.6463364434632317E-19	2.24999313939975E-18	0	0	144.57620396600566	6253.00240369464	HTR1E;HTR1F;HTR1D;HTR1A;HTR2B;HTR1B;GCG;HTR2A;OPRM1;HTR5A;HTR6;HTR7;DRD2
CAMP SIGNALING PATHWAY	9/222	9.6899214663219E-14	9.932169502979948E-13	0	0	92.81220657276995	2781.1275134395264	HTR6;HTR1E;HTR1F;BDNF;HTR1D;HTR1A;HTR1B;GCG;DRD2
TASTE TRANSDUCTION	6/86	9.42711386612217E-11	7.730233370220178E-10	0	0	124.3875	2871.466285789278	HTR1E;HTR1F;HTR1D;HTR1A;HTR1B;GNB3
CALCIUM SIGNALING PATHWAY	5/250	2.1992646755250106E-6	1.5028308616087573E-5	0	0	30.984301412872842	403.6445006703224	HTR6;HTR7;HTR2B;HTR2A;HTR5A
HORMONE SIGNALING	4/218	3.726895416792058E-5	2.1828958869782054E-4	0	0	26.39252336448598	269.1337956454443	GNB3;GCG;OPRM1;DRD2
GAP JUNCTION	3/85	5.77270311363056E-5	2.958510345735662E-4	0	0	48.53658536585366	473.70663862607273	HTR2B;HTR2A;DRD2
DOPAMINERGIC SYNAPSE	3/131	2.0852947952210106E-4	9.499676289340159E-4	0	0	31.021875	262.92373431613515	GNB3;COMT;DRD2
ALCOHOLISM	3/153	3.2922931303196065E-4	0.0013498401834310385	0	0	26.442666666666668	212.03729330865093	BDNF;GNB3;DRD2
TYROSINE METABOLISM	2/36	4.7330062752558495E-4	0.0017641205207771802	0	0	73.33823529411765	561.461379980425	DBH;COMT
COCAINE ADDICTION	2/48	8.420348934468774E-4	0.0028769525526101646	0	0	54.17391304347826	383.53446186420183	BDNF;DRD2
RAS SIGNALING PATHWAY	3/231	0.0010916834284500955	0.0034430015820349166	0	0	17.328070175438597	118.17803371823962	HTR7;BDNF;GNB3
MORPHINE ADDICTION	2/89	0.0028601279131244485	0.008376088888435884	0	0	28.58477011494253	167.41782366085732	GNB3;OPRM1
INFLAMMATORY MEDIATOR REGULATION OF TRP CHANNELS	2/97	0.003386160098682633	0.00925550426973253	0	0	26.167105263157893	148.84003110829175	HTR2B;HTR2A
VASOPRESSIN-REGULATED WATER REABSORPTION	1/43	0.038016457940095186	0.09613287329285408	0	0	27.92717086834734	91.3144790197023	AQP4
PI3K-AKT SIGNALING PATHWAY	2/355	0.03985997185313462	0.09613287329285408	0	0	6.950779036827195	22.39806991364058	BDNF;GNB3
STEROID HORMONE BIOSYNTHESIS	1/63	0.05522966630423428	0.12580090658186696	0	0	18.89943074003795	54.73757147758474	COMT
INSULIN SECRETION	1/81	0.07047246645026504	0.14903940599640927	0	0	14.633823529411766	38.81670264132201	GCG
GABAERGIC SYNAPSE	1/86	0.07466517827093744	0.14903940599640927	0	0	13.76955017301038	35.728422579909434	GNB3
BILE SECRETION	1/88	0.07633725672986817	0.14903940599640927	0	0	13.451656524678837	34.60565311468726	AQP4
CIRCADIAN ENTRAINMENT	1/95	0.08216708746364133	0.15312957209133157	0	0	12.445556946182728	31.101452445343085	GNB3
GLUCAGON SIGNALING PATHWAY	1/104	0.08961153050884178	0.15773668436013807	0	0	11.352941176470589	27.38637392725137	GCG
CHOLINERGIC SYNAPSE	1/111	0.0953621885731626	0.15773668436013807	0	0	10.626737967914439	24.973611307863486	GNB3
GLUTAMATERGIC SYNAPSE	1/112	0.09618090509764518	0.15773668436013807	0	0	10.530471648118708	24.657356652146074	GNB3
NEUROTROPHIN SIGNALING PATHWAY	1/119	0.10189235727874027	0.16067640955493656	0	0	9.902293120638086	22.615236719842347	BDNF
RELAXIN SIGNALING PATHWAY	1/126	0.10756971077056704	0.16334659783678698	0	0	9.344470588235295	20.83458271705315	GNB3
ESTROGEN SIGNALING PATHWAY	1/135	0.11481936936728154	0.1657298276289231	0	0	8.712906057945567	18.858171061974925	OPRM1
APELIN SIGNALING PATHWAY	1/138	0.11722353661557976	0.1657298276289231	0	0	8.520824388149421	18.265857750150612	GNB3
RETROGRADE ENDOCANNABINOID SIGNALING	1/146	0.12360453553638447	0.1689261985663921	0	0	8.047464503042596	16.82457683434384	GNB3
CHEMOKINE SIGNALING PATHWAY	1/191	0.15869366295150159	0.2072391508260361	0	0	6.127554179566563	11.279476628939785	GNB3
KAPOSI SARCOMA-ASSOCIATED HERPESVIRUS INFECTION	1/195	0.1617476299130038	0.2072391508260361	0	0	6.0	10.93030799092462	GNB3
RAP1 SIGNALING PATHWAY	1/210	0.17310701358152283	0.20874669284830694	0	0	5.5651562060230795	9.76042305629853	DRD2
HUMAN IMMUNODEFICIENCY VIRUS 1 INFECTION	1/210	0.17310701358152283	0.20874669284830694	0	0	5.5651562060230795	9.76042305629853	GNB3
HUMAN CYTOMEGALOVIRUS INFECTION	1/223	0.18283406284713427	0.21329900270945698	0	0	5.2358240593534715	8.89658814160068	GNB3
THERMOGENESIS	1/229	0.1872869292083037	0.21329900270945698	0	0	5.0964912280701755	8.537201041120829	GCG
PARKINSON DISEASE	1/263	0.2120900942230608	0.23501875305798628	0	0	4.427480916030534	6.865890005071797	DRD2
MAPK SIGNALING PATHWAY	1/296	0.23547872378963589	0.25268081168360323	0	0	3.9256231306081757	5.676979885017685	BDNF
HUNTINGTON DISEASE	1/303	0.24035491843074455	0.25268081168360323	0	0	3.8332684067004283	5.46485548614398	BDNF
PATHWAYS OF NEURODEGENERATION - MULTIPLE DISEASES	1/469	0.3477392393378797	0.35643272032132667	0	0	2.4527400703871294	2.5908352041132687	BDNF
PATHWAYS IN CANCER	1/525	0.38060848003551645	0.38060848003551645	0	0	2.184328693309385	2.110026663857399	GNB3
